"","species","lat","lon","fullCountry"
"1132","Heterohyrax brucei",4.316667,32.400002,"South Sudan"
"1133","Heterohyrax brucei",4.316667,32.400002,"South Sudan"
"1134","Heterohyrax brucei",4.316667,32.400002,"South Sudan"
"1135","Heterohyrax brucei",NA,NA,"Sudan"
"1136","Heterohyrax brucei",4.316667,32.400002,"South Sudan"
"1137","Heterohyrax brucei",4.1,32.849998,"South Sudan"
"1138","Heterohyrax brucei",NA,NA,"Sudan"
"1139","Heterohyrax brucei",4.266667,32.816666,"South Sudan"
"1140","Heterohyrax brucei",4.233333,32.766666,"South Sudan"
"1141","Heterohyrax brucei",NA,NA,"Sudan"
"1142","Heterohyrax brucei",4.416667,32.566666,"South Sudan"
"1143","Heterohyrax brucei",4.266667,32.816666,"South Sudan"
"1144","Heterohyrax brucei",NA,NA,"Sudan"
"1145","Heterohyrax brucei",NA,NA,"Kenya"
"1146","Heterohyrax brucei",NA,NA,"Rwanda"
"1147","Heterohyrax brucei",NA,NA,"Malawi"
"1148","Heterohyrax brucei",NA,NA,"Malawi"
"1149","Heterohyrax brucei",NA,NA,NA
"1150","Heterohyrax brucei",NA,NA,NA
"1151","Heterohyrax brucei",NA,NA,NA
"1152","Heterohyrax brucei",NA,NA,"Uganda"
"1153","Heterohyrax brucei",NA,NA,"Uganda"
"1154","Heterohyrax brucei",NA,NA,NA
"1155","Heterohyrax brucei",NA,NA,"Sudan"
"1156","Heterohyrax brucei",NA,NA,NA
"1157","Heterohyrax brucei",NA,NA,NA
"1158","Heterohyrax brucei",NA,NA,NA
"1159","Heterohyrax brucei",NA,NA,NA
"1160","Heterohyrax brucei",NA,NA,"Kenya"
"1161","Heterohyrax brucei",NA,NA,"Kenya"
"1162","Heterohyrax brucei",NA,NA,"Kenya"
"1163","Heterohyrax brucei",NA,NA,"Kenya"
"1164","Heterohyrax brucei",NA,NA,"Kenya"
"1165","Heterohyrax brucei",NA,NA,"Kenya"
"1166","Heterohyrax brucei",NA,NA,"Kenya"
"1167","Heterohyrax brucei",NA,NA,"Kenya"
"1168","Heterohyrax brucei",NA,NA,"Kenya"
"1169","Heterohyrax brucei",NA,NA,"Kenya"
"1170","Heterohyrax brucei",NA,NA,"Kenya"
"1171","Heterohyrax brucei",NA,NA,"Kenya"
"1172","Heterohyrax brucei",NA,NA,"Kenya"
"1173","Heterohyrax brucei",NA,NA,"Kenya"
"1174","Heterohyrax brucei",NA,NA,"Kenya"
"1175","Heterohyrax brucei",NA,NA,"Kenya"
"1176","Heterohyrax brucei",NA,NA,"Kenya"
"1177","Heterohyrax brucei",NA,NA,"Kenya"
"1178","Heterohyrax brucei",NA,NA,"Ethiopia"
"1179","Heterohyrax brucei",NA,NA,NA
"1180","Heterohyrax brucei",NA,NA,NA
"1181","Heterohyrax brucei",NA,NA,NA
"1182","Heterohyrax brucei",NA,NA,NA
"1183","Heterohyrax brucei",NA,NA,NA
"1184","Heterohyrax brucei",NA,NA,NA
"1185","Heterohyrax brucei",NA,NA,NA
"1186","Heterohyrax brucei",NA,NA,NA
"1187","Heterohyrax brucei",NA,NA,NA
"1188","Heterohyrax brucei",NA,NA,NA
"1189","Heterohyrax brucei",NA,NA,NA
"1190","Heterohyrax brucei",NA,NA,NA
"1191","Heterohyrax brucei",NA,NA,NA
"1192","Heterohyrax brucei",NA,NA,NA
"1193","Heterohyrax brucei",NA,NA,"Angola"
"1194","Heterohyrax brucei",NA,NA,"Angola"
"1195","Heterohyrax brucei",NA,NA,"Angola"
"1196","Heterohyrax brucei",NA,NA,"Angola"
"1197","Heterohyrax brucei",NA,NA,"Kenya"
"1198","Heterohyrax brucei",NA,NA,"Kenya"
"1199","Heterohyrax brucei",NA,NA,"Kenya"
"1200","Heterohyrax brucei",NA,NA,"Kenya"
"1201","Heterohyrax brucei",NA,NA,"Kenya"
"1202","Heterohyrax brucei",NA,NA,"Kenya"
"1203","Heterohyrax brucei",NA,NA,"Kenya"
"1204","Heterohyrax brucei",NA,NA,"Kenya"
"1205","Heterohyrax brucei",NA,NA,"Kenya"
"1206","Heterohyrax brucei",-2.51667,32.900002,"Tanzania, United Republic of"
"1207","Heterohyrax brucei",NA,NA,NA
"1208","Heterohyrax brucei",NA,NA,NA
"1209","Heterohyrax brucei",NA,NA,NA
"1210","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1211","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1212","Heterohyrax brucei",NA,NA,NA
"1213","Heterohyrax brucei",NA,NA,NA
"1214","Heterohyrax brucei",NA,NA,NA
"1215","Heterohyrax brucei",NA,NA,NA
"1216","Heterohyrax brucei",NA,NA,NA
"1217","Heterohyrax brucei",4.666667,36.866665,"Ethiopia"
"1218","Heterohyrax brucei",NA,NA,"Ethiopia"
"1219","Heterohyrax brucei",NA,NA,"Ethiopia"
"1220","Heterohyrax brucei",NA,NA,"Ethiopia"
"1221","Heterohyrax brucei",NA,NA,"Ethiopia"
"1222","Heterohyrax brucei",NA,NA,"Ethiopia"
"1223","Heterohyrax brucei",NA,NA,"Ethiopia"
"1224","Heterohyrax brucei",NA,NA,"Ethiopia"
"1225","Heterohyrax brucei",NA,NA,NA
"1226","Heterohyrax brucei",-5.85,34.950001,"Tanzania, United Republic of"
"1227","Heterohyrax brucei",-2.444182,34.825779,"Tanzania, United Republic of"
"1228","Heterohyrax brucei",NA,NA,NA
"1229","Heterohyrax brucei",NA,NA,NA
"1230","Heterohyrax brucei",9.1,38.700001,"Ethiopia"
"1231","Heterohyrax brucei",NA,NA,NA
"1232","Heterohyrax brucei",8,38.833332,"Ethiopia"
"1233","Heterohyrax brucei",NA,NA,NA
"1234","Heterohyrax brucei",10.416667,38.200001,"Ethiopia"
"1235","Heterohyrax brucei",10.45,38.183334,"Ethiopia"
"1236","Heterohyrax brucei",10.416667,38.200001,"Ethiopia"
"1237","Heterohyrax brucei",10.45,38.183334,"Ethiopia"
"1238","Heterohyrax brucei",10.416667,38.200001,"Ethiopia"
"1239","Heterohyrax brucei",NA,NA,NA
"1240","Heterohyrax brucei",10.45,38.183334,"Ethiopia"
"1241","Heterohyrax brucei",12.083333,37.716667,"Ethiopia"
"1242","Heterohyrax brucei",12.083333,37.716667,"Ethiopia"
"1243","Heterohyrax brucei",12.55,37.066666,"Ethiopia"
"1244","Heterohyrax brucei",12.6,37.466667,"Ethiopia"
"1245","Heterohyrax brucei",12.6,37.466667,"Ethiopia"
"1246","Heterohyrax brucei",8,38.833332,"Ethiopia"
"1247","Heterohyrax brucei",NA,NA,NA
"1248","Heterohyrax brucei",NA,NA,NA
"1249","Heterohyrax brucei",NA,NA,"Kenya"
"1250","Heterohyrax brucei",NA,NA,"Kenya"
"1251","Heterohyrax brucei",NA,NA,"Kenya"
"1252","Heterohyrax brucei",NA,NA,"Kenya"
"1253","Heterohyrax brucei",NA,NA,"Kenya"
"1254","Heterohyrax brucei",NA,NA,"Kenya"
"1255","Heterohyrax brucei",NA,NA,"Kenya"
"1256","Heterohyrax brucei",NA,NA,"Kenya"
"1257","Heterohyrax brucei",NA,NA,"Kenya"
"1258","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1259","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1260","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1261","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1262","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1263","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1264","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1265","Heterohyrax brucei",NA,NA,"Angola"
"1266","Heterohyrax brucei",NA,NA,NA
"1267","Heterohyrax brucei",NA,NA,NA
"1268","Heterohyrax brucei",7.833334,39.333332,"Ethiopia"
"1269","Heterohyrax brucei",6.7,37.883335,"Ethiopia"
"1270","Heterohyrax brucei",7.166667,42.133335,"Ethiopia"
"1271","Heterohyrax brucei",6.7,37.883335,"Ethiopia"
"1272","Heterohyrax brucei",7.166667,42.133335,"Ethiopia"
"1273","Heterohyrax brucei",7.166667,42.133335,"Ethiopia"
"1274","Heterohyrax brucei",NA,NA,NA
"1275","Heterohyrax brucei",NA,NA,"Angola"
"1276","Heterohyrax brucei",NA,NA,"Angola"
"1277","Heterohyrax brucei",NA,NA,"Angola"
"1278","Heterohyrax brucei",NA,NA,"Angola"
"1279","Heterohyrax brucei",NA,NA,"Angola"
"1280","Heterohyrax brucei",NA,NA,"Angola"
"1281","Heterohyrax brucei",NA,NA,"Angola"
"1282","Heterohyrax brucei",NA,NA,NA
"1283","Heterohyrax brucei",NA,NA,NA
"1284","Heterohyrax brucei",NA,NA,NA
"1285","Heterohyrax brucei",NA,NA,NA
"1286","Heterohyrax brucei",NA,NA,NA
"1287","Heterohyrax brucei",NA,NA,NA
"1288","Heterohyrax brucei",NA,NA,NA
"1289","Heterohyrax brucei",NA,NA,NA
"1290","Heterohyrax brucei",NA,NA,NA
"1291","Heterohyrax brucei",NA,NA,NA
"1292","Heterohyrax brucei",NA,NA,NA
"1293","Heterohyrax brucei",NA,NA,NA
"1294","Heterohyrax brucei",NA,NA,NA
"1295","Heterohyrax brucei",NA,NA,NA
"1296","Heterohyrax brucei",NA,NA,NA
"1297","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1298","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1299","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1300","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1301","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1302","Heterohyrax brucei",NA,NA,NA
"1303","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1304","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1305","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1306","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1307","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1308","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1309","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1310","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1311","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1312","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1313","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1314","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1315","Heterohyrax brucei",NA,NA,NA
"1316","Heterohyrax brucei",NA,NA,"Congo, Democratic Republic of the"
"1317","Heterohyrax brucei",NA,NA,"Congo, Democratic Republic of the"
"1318","Heterohyrax brucei",NA,NA,"Kenya"
"1319","Heterohyrax brucei",NA,NA,"Kenya"
"1320","Heterohyrax brucei",-1.433333,-35.066666,"Brazil"
"1321","Heterohyrax brucei",NA,NA,"Kenya"
"1322","Heterohyrax brucei",NA,NA,"Kenya"
"1323","Heterohyrax brucei",NA,NA,"Kenya"
"1324","Heterohyrax brucei",NA,NA,"Kenya"
"1325","Heterohyrax brucei",NA,NA,"Kenya"
"1326","Heterohyrax brucei",NA,NA,"Kenya"
"1327","Heterohyrax brucei",NA,NA,"Kenya"
"1328","Heterohyrax brucei",NA,NA,"Kenya"
"1329","Heterohyrax brucei",NA,NA,"Kenya"
"1330","Heterohyrax brucei",NA,NA,"Kenya"
"1331","Heterohyrax brucei",NA,NA,"Kenya"
"1332","Heterohyrax brucei",NA,NA,"Kenya"
"1333","Heterohyrax brucei",NA,NA,"Kenya"
"1334","Heterohyrax brucei",NA,NA,"Kenya"
"1335","Heterohyrax brucei",NA,NA,"Kenya"
"1336","Heterohyrax brucei",NA,NA,"Kenya"
"1337","Heterohyrax brucei",NA,NA,"Kenya"
"1338","Heterohyrax brucei",NA,NA,"Kenya"
"1339","Heterohyrax brucei",NA,NA,"Kenya"
"1340","Heterohyrax brucei",NA,NA,"Kenya"
"1341","Heterohyrax brucei",NA,NA,"Kenya"
"1342","Heterohyrax brucei",NA,NA,"Kenya"
"1343","Heterohyrax brucei",NA,NA,"Kenya"
"1344","Heterohyrax brucei",NA,NA,"Kenya"
"1345","Heterohyrax brucei",NA,NA,"Kenya"
"1346","Heterohyrax brucei",NA,NA,"Kenya"
"1347","Heterohyrax brucei",NA,NA,"Kenya"
"1348","Heterohyrax brucei",NA,NA,"Kenya"
"1349","Heterohyrax brucei",NA,NA,"Kenya"
"1350","Heterohyrax brucei",NA,NA,"Kenya"
"1351","Heterohyrax brucei",NA,NA,"Kenya"
"1352","Heterohyrax brucei",NA,NA,"Kenya"
"1353","Heterohyrax brucei",NA,NA,"Kenya"
"1354","Heterohyrax brucei",NA,NA,"Kenya"
"1355","Heterohyrax brucei",NA,NA,"Kenya"
"1356","Heterohyrax brucei",NA,NA,"Kenya"
"1357","Heterohyrax brucei",NA,NA,"Kenya"
"1358","Heterohyrax brucei",NA,NA,"Kenya"
"1359","Heterohyrax brucei",NA,NA,"Kenya"
"1360","Heterohyrax brucei",NA,NA,"Kenya"
"1361","Heterohyrax brucei",NA,NA,"Sudan"
"1362","Heterohyrax brucei",NA,NA,"Sudan"
"1363","Heterohyrax brucei",NA,NA,"Sudan"
"1364","Heterohyrax brucei",NA,NA,"Kenya"
"1365","Heterohyrax brucei",NA,NA,"Kenya"
"1366","Heterohyrax brucei",NA,NA,"Kenya"
"1367","Heterohyrax brucei",NA,NA,"Kenya"
"1368","Heterohyrax brucei",NA,NA,"Kenya"
"1369","Heterohyrax brucei",NA,NA,"Kenya"
"1370","Heterohyrax brucei",NA,NA,"Kenya"
"1371","Heterohyrax brucei",NA,NA,"Kenya"
"1372","Heterohyrax brucei",NA,NA,"Kenya"
"1373","Heterohyrax brucei",NA,NA,"Kenya"
"1374","Heterohyrax brucei",NA,NA,"Kenya"
"1375","Heterohyrax brucei",NA,NA,"Kenya"
"1376","Heterohyrax brucei",NA,NA,"Kenya"
"1377","Heterohyrax brucei",NA,NA,"Kenya"
"1378","Heterohyrax brucei",NA,NA,"Kenya"
"1379","Heterohyrax brucei",NA,NA,"Kenya"
"1380","Heterohyrax brucei",NA,NA,"Angola"
"1381","Heterohyrax brucei",-1.45,-36.983334,"Brazil"
"1382","Heterohyrax brucei",-1.466667,-37.049999,"Brazil"
"1383","Heterohyrax brucei",-1.466667,-37.049999,"Brazil"
"1384","Heterohyrax brucei",-1.466667,-37.049999,"Brazil"
"1385","Heterohyrax brucei",-0.93333,36.56667,"Kenya"
"1386","Heterohyrax brucei",-1.466667,-37.049999,"Brazil"
"1387","Heterohyrax brucei",-1.466667,-37.049999,"Brazil"
"1388","Heterohyrax brucei",-1.466667,-37.049999,"Brazil"
"1389","Heterohyrax brucei",-0.93333,36.56667,"Kenya"
"1390","Heterohyrax brucei",NA,NA,"Ethiopia"
"1391","Heterohyrax brucei",NA,NA,"Ethiopia"
"1392","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1393","Heterohyrax brucei",9.766666,44.683334,"Somalia"
"1394","Heterohyrax brucei",NA,NA,"Kenya"
"1395","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1396","Heterohyrax brucei",NA,NA,"Kenya"
"1397","Heterohyrax brucei",NA,NA,NA
"1398","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1399","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1400","Heterohyrax brucei",NA,NA,"Tanzania, United Republic of"
"1401","Heterohyrax brucei",-0.25,35.73333,"Kenya"
"1402","Heterohyrax brucei",NA,NA,NA
"1403","Heterohyrax brucei",NA,NA,NA
"1404","Heterohyrax brucei",NA,NA,NA
"1405","Heterohyrax brucei",NA,NA,"Ethiopia"
"1406","Heterohyrax brucei",NA,NA,NA
"1407","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1408","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1409","Heterohyrax brucei",NA,NA,"Zambia"
"1410","Heterohyrax brucei",NA,NA,"unknown or invalid"
"1411","Heterohyrax brucei",NA,NA,"Ethiopia"
"1412","Heterohyrax brucei",NA,NA,"Ethiopia"
"1413","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1414","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1415","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1416","Heterohyrax brucei",NA,NA,"Zimbabwe"
"1417","Heterohyrax brucei",NA,NA,"Botswana"
"1418","Heterohyrax brucei",-15.125,13.375,"Angola"
"1419","Heterohyrax brucei",5.0597,36.035599,"Ethiopia"
"1420","Heterohyrax brucei",NA,NA,NA
